   1.0000000000000001E-009   16373498665196056.     
   1.0200000000000000E-009   15624829133353072.     
   1.0404000000000000E-009   14910392118418680.     
   1.0612080000000001E-009   14228622356426014.     
   1.0824322000000000E-009   13578024968994198.     
   1.1040808000000000E-009   12957178207974354.     
   1.1261623999999999E-009   12364718530314516.     
   1.1486857000000000E-009   11799347079002376.     
   1.1716594000000001E-009   11259828517385738.     
   1.1950926000000001E-009   10744978582763124.     
   1.2189943999999999E-009   10253671176415016.     
   1.2433742999999999E-009   9784827283731524.0     
   1.2682417999999999E-009   9337421008741684.0     
   1.2936066000000000E-009   8910472977441879.0     
   1.3194787999999999E-009   8503045296702585.0     
   1.3458682999999999E-009   8114249148673952.0     
   1.3727857000000000E-009   7743228961776817.0     
   1.4002413999999999E-009   7389174104114597.0     
   1.4282461999999999E-009   7051308368799519.0     
   1.4568112000000000E-009   6728890208258190.0     
   1.4859474000000000E-009   6421215521897574.0     
   1.5156663000000001E-009   6127609310508435.0     
   1.5459797000000000E-009   5847426967224776.0     
   1.5768993000000000E-009   5580056424177601.0     
   1.6084372000000000E-009   5324911980228383.0     
   1.6406059999999999E-009   5081432797667148.0     
   1.6734181000000000E-009   4849087118238152.0     
   1.7068865000000000E-009   4627364941332780.0     
   1.7410241999999999E-009   4415781316339177.5     
   1.7758447000000000E-009   4213871971251545.0     
   1.8113615999999999E-009   4021194880969782.5     
   1.8475888000000001E-009   3837328037757316.5     
   1.8845406000000000E-009   3661868141016992.5     
   1.9222313999999999E-009   3494431216318050.5     
   1.9606759999999999E-009   3334650316747248.5     
   1.9998896000000001E-009   3182174901302566.0     
   2.0398873000000000E-009   3036671967025619.5     
   2.0806850999999999E-009   2897821576611301.5     
   2.1222988000000000E-009   2765320229959727.0     
   2.1647448000000000E-009   2638877361348099.5     
   2.2080397000000001E-009   2518216084527946.0     
   2.2522004999999999E-009   2403071976513234.5     
   2.2972445000000000E-009   2293192809795639.5     
   2.3431893999999999E-009   2188337764271766.2     
   2.3900531000000002E-009   2088277363840784.0     
   2.4378541999999999E-009   1992791917069052.2     
   2.4866113000000000E-009   1901672535858309.2     
   2.5363434999999998E-009   1814719612820091.0     
   2.5870704000000000E-009   1731742474774254.8     
   2.6388118000000001E-009   1652559481637765.0     
   2.6915880000000000E-009   1576997126693668.5     
   2.7454198000000002E-009   1504889718623458.0     
   2.8003281999999998E-009   1436079430510044.2     
   2.8563347000000001E-009   1370415533754651.0     
   2.9134614000000000E-009   1307754004857728.0     
   2.9717306999999998E-009   1247957575911645.5     
   3.0311653000000001E-009   1190895391529202.2     
   3.0917886000000001E-009   1136442337305807.5     
   3.1536243999999999E-009   1084479092213053.0     
   3.2166969000000001E-009   1034891852503704.1     
   3.2810308000000000E-009   987571998980541.62     
   3.3466513999999998E-009   942415804458058.00     
   3.4135843999999999E-009   899324359631564.38     
   3.4818560999999998E-009   858203223971718.88     
   3.5514931999999999E-009   818962349229012.12     
   3.6225231000000002E-009   781515712287184.12     
   3.6949736000000000E-009   745781303219183.00     
   3.7688729999999998E-009   711680881369590.50     
   3.8442505000000000E-009   679139634252424.62     
   3.9211355000000002E-009   648086339057709.00     
   3.9995582000000000E-009   618452938978139.88     
   4.0795494000000003E-009   590174494421968.88     
   4.1611404000000001E-009   563189075227060.88     
   4.2443631999999998E-009   537437556193661.94     
   4.3292503999999998E-009   512863527269277.06     
   4.4158355000000001E-009   489413090719507.75     
   4.5041521999999999E-009   467034939488460.38     
   4.5942352000000002E-009   445680024973336.06     
   4.6861198999999999E-009   425301543369721.69     
   4.7798422999999998E-009   405854855741145.12     
   4.8754392000000000E-009   387297347872637.31     
   4.9729479000000000E-009   369588397022663.94     
   5.0724068999999997E-009   352689156962741.94     
   5.1738549999999998E-009   336562638379934.25     
   5.2773320999999999E-009   321173490452837.50     
   5.3828788000000004E-009   306487995360364.31     
   5.4905363999999996E-009   292473991498358.12     
   5.6003471000000003E-009   279100776849566.19     
   5.7123539999999996E-009   266339046656329.31     
   5.8266011000000001E-009   254160833114840.06     
   5.9431331000000001E-009   242539466105880.25     
   6.0619958000000003E-009   231449474398208.41     
   6.1832356999999997E-009   220866571431898.88     
   6.3069004000000003E-009   210767565834604.31     
   6.4330384000000003E-009   201130331399540.56     
   6.5616992000000004E-009   191933751602170.12     
   6.6929332000000002E-009   183157681685953.81     
   6.8267918000000003E-009   174782897833489.59     
   6.9633277000000003E-009   166791039009238.41     
   7.1025941999999997E-009   159164610185338.97     
   7.2446461000000002E-009   151886892107514.00     
   7.3895389999999998E-009   144941945641289.97     
   7.5373297999999992E-009   138314551278590.05     
   7.6880764000000003E-009   131990191714344.11     
   7.8418378999999996E-009   125955011347589.45     
   7.9986746999999999E-009   120195783849702.44     
   8.1586482000000008E-009   114699895257102.41     
   8.3218211999999993E-009   109455302339307.47     
   8.4882576000000007E-009   104450517459128.98     
   8.6580226999999995E-009   99674574428007.266     
   8.8311832000000003E-009   95117006273188.609     
   9.0078069000000000E-009   90767830811786.562     
   9.1879630000000007E-009   86617520797173.422     
   9.3717223000000003E-009   82656979820887.656     
   9.5591567000000001E-009   78877534206942.641     
   9.7503398000000004E-009   75270901460268.844     
   9.9453466000000004E-009   71829179396882.812     
   1.0144254000000000E-008   68544820836225.852     
   1.0347139000000000E-008   65410646497629.273     
   1.0554081000000001E-008   62419790325370.305     
   1.0765163000000000E-008   59565673586258.523     
   1.0980465999999999E-008   56842067973770.125     
   1.1200076000000000E-008   54242986818745.445     
   1.1424077000000000E-008   51762760619395.273     
   1.1652559000000000E-008   49395931268191.195     
   1.1885609999999999E-008   47137330228209.656     
   1.2123322000000000E-008   44982002588342.570     
   1.2365788000000000E-008   42925228016763.523     
   1.2613104000000000E-008   40962492917581.109     
   1.2865366000000001E-008   39089505256454.422     
   1.3122674000000000E-008   37302153815962.242     
   1.3385127000000000E-008   35596535659580.703     
   1.3652830000000000E-008   33968900264402.430     
   1.3925886000000000E-008   32415693637990.871     
   1.4204404000000001E-008   30933501818846.531     
   1.4488492000000000E-008   29519084260541.852     
   1.4778261999999999E-008   28169339086295.105     
   1.5073827000000001E-008   26881312027552.051     
   1.5375304000000001E-008   25652176494844.832     
   1.5682810000000001E-008   24479244642274.449     
   1.5996465999999999E-008   23359944870186.188     
   1.6316394999999999E-008   22291824829480.715     
   1.6642723000000000E-008   21272542674614.992     
   1.6975578000000000E-008   20299865430624.629     
   1.7315088999999998E-008   19371666343646.961     
   1.7661391000000001E-008   18485906643103.184     
   1.8014619000000000E-008   17640647961544.605     
   1.8374910999999999E-008   16834039524188.734     
   1.8742409000000001E-008   16064312451471.598     
   1.9117258000000001E-008   15329778741146.434     
   1.9499602999999998E-008   14628833032189.432     
   1.9889595000000001E-008   13959937509623.682     
   2.0287386999999999E-008   13321626625147.031     
   2.0693133999999998E-008   12712503396493.473     
   2.1106997000000001E-008   12131230494230.133     
   2.1529137000000001E-008   11576536345526.742     
   2.1959720000000000E-008   11047205059657.873     
   2.2398914000000000E-008   10542077919747.137     
   2.2846892999999998E-008   10060046255544.195     
   2.3303830000000000E-008   9600056819862.7637     
   2.3769907000000001E-008   9161098955437.1289     
   2.4245305000000001E-008   8742212689765.9873     
   2.4730211000000002E-008   8342479736439.3154     
   2.5224815000000000E-008   7961024444539.4209     
   2.5729311999999999E-008   7597010341008.1240     
   2.6243898000000001E-008   7249641233953.4287     
   2.6768776000000001E-008   6918155213847.5566     
   2.7304150999999999E-008   6601826537550.0312     
   2.7850234000000000E-008   6299961535648.2812     
   2.8407239000000001E-008   6011898979667.3711     
   2.8975384000000000E-008   5737007988465.2129     
   2.9554892000000001E-008   5474686204565.7217     
   3.0145988999999997E-008   5224359429035.2139     
   3.0748909000000000E-008   4985478284117.9785     
   3.1363887000000002E-008   4757520001567.6973     
   3.1991165000000001E-008   4539984838571.4219     
   3.2630987999999999E-008   4332396536883.7876     
   3.3283608000000003E-008   4134299935039.2305     
   3.3949279999999998E-008   3945261310425.0435     
   3.4628266000000003E-008   3764866228554.6958     
   3.5320830999999998E-008   3592719796758.2207     
   3.6027248000000002E-008   3428444506578.7588     
   3.6747793000000003E-008   3271680693359.0024     
   3.7482749000000002E-008   3122084803976.6665     
   3.8232403999999998E-008   2979329130228.1948     
   3.8997051999999998E-008   2843100901531.3130     
   3.9776993000000001E-008   2713101629103.0752     
   4.0572533000000002E-008   2589046476685.4932     
   4.1383983000000000E-008   2470663794671.9092     
   4.2211663000000003E-008   2357693959398.8506     
   4.3055895999999998E-008   2249889687218.9824     
   4.3917014000000000E-008   2147014667034.8123     
   4.4795355000000002E-008   2048843483433.1084     
   4.5691261999999999E-008   1955161213496.6575     
   4.6605086999999997E-008   1865762527880.5625     
   4.7537189000000001E-008   1780451503931.3225     
   4.8487932000000002E-008   1699041369129.2983     
   4.9457691000000003E-008   1621353576798.9429     
   5.0446845000000002E-008   1547218032532.4575     
   5.1455781999999998E-008   1476472302781.3630     
   5.2484897000000000E-008   1408961431360.2058     
   5.3534595000000003E-008   1344537414557.3447     
   5.4605287000000000E-008   1283059149759.8259     
   5.5697393000000002E-008   1224391937812.7815     
   5.6811340999999998E-008   1168407259997.1379     
   5.7947567999999998E-008   1114982450296.6106     
   5.9106518999999997E-008   1064000485116.6843     
   6.0288649000000002E-008   1015349642963.6342     
   6.1494422000000003E-008   968923318991.95959     
   6.2724311000000003E-008   924619795267.01807     
   6.3978796999999998E-008   882342053288.68738     
   6.5258373000000004E-008   841997429632.64258     
   6.6563539999999999E-008   803497557403.88025     
   6.7894811000000003E-008   766758052921.46326     
   6.9252707000000001E-008   731698453641.91223     
   7.0637761999999997E-008   698241910301.06592     
   7.2050516999999996E-008   666315174928.58032     
   7.3491526999999999E-008   635848274355.08435     
   7.4961357999999994E-008   606774440832.36877     
   7.6460585000000002E-008   579030004685.42468     
   7.7989797000000004E-008   552554160097.28235     
   7.9549593000000000E-008   527288913637.53717     
   8.1140583999999998E-008   503178920665.76013     
   8.2763396000000005E-008   480171327337.28839     
   8.4418663999999995E-008   458215747372.30853     
   8.6107037000000007E-008   437264079007.88422     
   8.7829177999999996E-008   417270408258.57721     
   8.9585762000000003E-008   398190935823.03259     
   9.1377476999999995E-008   379983869073.30249     
